Person_ID,Index_Name, IN_Foreign_Notation,Real_Name, RN_Foreign_Notation,Birth_Year,Death_Year,Birth_Place,Sex,ISNI,Responsibility
249,이양하,李敭河,이양하,李敭河,1904,1963,평안남도 강서,남,0000 0004 5879 2119,전세진
250,이여성,李如星,이여성,李如星,1901,?,경상북도 대구,?,0000 0000 2890 4555,전세진
251,이용악,李庸岳,이용악,李庸岳,1914,1971,함경북도 경성,남,0000 0000 8244 0886,전세진
252,이운곡,李雲谷,이운곡,李雲谷,?,?,?,?,?,전세진
253,이원수,李元壽,이원수,李元壽,1912,1981,경상남도 양산,남,0000 0000 3011 1343,전세진
254,이원우,李元友,이원우,李元友,1914,1985,평안북도 의주,?,0000 0004 7536 372X,전세진
255,이원조,李源朝,이원조,李源朝,1909,1955,경상북도 안동,남,0000 0000 4992 0570,전세진
256,이육사,李陸史,이원록,李源綠,1904,1944,경상북도 안동,남,0000 0003 8567 5201,전세진
257,이윤재,李允宰,이윤재,李允宰,1888,1943,경상남도 김해,남,0000 0000 4721 6029,전세진
258,이은상,李殷相,이은상,李殷相,1903,1982,경상남도 마산,남,0000 0000 7829 9453,전세진
259,이응수,李應洙,이응수,李應洙,1909,1964,함경남도 고원,남,0000 0000 4683 4060,전세진
260,이익상,李益相,이익상,李益相,1895,1935,전라북도 전주,남,0000 0004 5506 5864,전세진
261,이인직,李人稙,이인직,李人稙,1862,1916,경기도 이천,남,0000 0000 2565 6613,전세진
262,이장희,李章熙,이양희,李樑熙,1900,1929,경상북도 대구,남,0000 0004 5603 8091,전세진
263,이정구,李貞求,이정구,李貞求,?,?,?,?,?,전세진
264,이정호,李定鎬,이정호,李定鎬,1906,1938,?,남,?,정성훈
265,이종린,李鍾麟,이종린,李鍾麟,1883,1950,충청남도 서산,남,0000 0000 2189 8439,정성훈
266,이종명,李鍾鳴,이종명,李鍾鳴,?,?,?,남,?,정성훈
267,이종산,李鍾山,이종산,李鍾山,1923,?,충청남도 당진,?,?,정성훈
268,이종수,李鍾洙,이종수,李鍾洙,1906,1989,평안남도 평양,남,0000 0000 4093 452X,정성훈
269,이주홍,李周洪,이주홍,李周洪,1906,1987,경상남도 합천,남,0000 0000 2287 2986,정성훈
270,이찬,李燦,이찬,李燦,1910,1974,함경남도 북청,남,0000 0004 6447 8337,정성훈
271,이태준,李泰俊,이태준,李泰俊,1904,1970,강원도 철원,남,0000 0000 7834 3821,정성훈
272,이하윤,異河潤,이하윤,異河潤,1906,1974,강원도 이천,남,0000 0004 5540 8900,정성훈
273,이학인,李學仁,이학인,李學仁,?,?,?,?,?,정성훈
274,이한직,李漢稷,이한직,李漢稷,1921,1976,경기도 고양,남,0000 0000 8030 5672,정성훈
275,이해문,李海文,이해문,李海文,1911,1950,충청남도 예산,남,0000 0004 6432 3087,정성훈
276,이해조,李海朝,이해조,李海朝,1869,1927,경기도 포천,남,0000 0000 8418 5313,정성훈
277,이향,李鄕,이향,李鄕,?,?,?,?,?,정성훈
278,이헌구,李軒求,이헌구,李軒求,1905,1983,함경북도 명천,남,0000 0004 5586 4770,정성훈
279,이호우,李鎬雨,이호우,李鎬雨,1912,1970,경상북도 청도,남,0000 0000 8440 5910,정성훈
280,이효석,李孝石,이효석,李孝石,1907,1942,강원도 평창,남,0000 0000 8379 5582,정성훈
281,이흡,李洽,이강흡,李康洽,1908,?,충청북도 충주,남,?,정성훈
282,이희승,李熙昇,이희승,李熙昇,1896,1989,경기도 광주,남,0000 0000 2290 5792,정성훈
283,인정식,印貞植,인정식,印貞植,1907,?,평안남도 용강,남,0000 0003 8054 9476,정성훈
284,임긍재,林肯載,임긍재,林肯載,1918,1962,황해도 연백,남,0000 0004 5560 2615,정성훈
285,임노월,林盧月,임노월,林盧月,?,?,평안남도,?,0000 0004 7703 7338,정성훈
286,임서하,任西河,임서하,任西河,?,?,?,남,0000 0000 5423 9106,정성훈
287,임영빈,任英彬,임영빈,任英彬,1900,1990,황해도 금천,남,0000 0000 3011 2039,정성훈
288,임옥인,林玉仁,임옥인,林玉仁,1915,1995,함경북도 길주,여,0000 0000 2654 199X,정성훈
289,임원호,林元鎬,임원호,林元鎬,1904,1987,?,?,0000 0004 7533 7089,정성훈
290,임인수,林仁洙,임인수,林仁洙,1919,1967,경기도 김포,남,0000 0004 6435 7981,정성훈
